flip_angle_deg,refocusing_angle_deg,tr_ms,te_ms,bandwidth_khz,sequence_factor,max_relative_sar,mean_relative_sar,artifact_risk_proxy,snr_preservation_proxy,sar_rank_proxy,artifact_control_proxy,optimization_score
80.0,110.0,5000.0,10.0,200.0,0.55,0.0001278032286791131,5.3628140449291095e-05,0.8333333333333334,1.1111111111111112,0.9188538306308668,0.5454545454545454,0.8498478601475264
70.0,120.0,5000.0,8.0,200.0,0.7,0.0001482075749663636,6.21901053818874e-05,0.6666666666666666,0.9722222222222222,0.9058984931768301,0.6000000000000001,0.8493209885962402
70.0,110.0,4200.0,8.0,200.0,0.7,0.00014825658581685275,6.22106745140627e-05,0.6666666666666666,0.9722222222222222,0.9058673694744364,0.6000000000000001,0.849306982930163
80.0,120.0,3500.0,8.0,200.0,0.45,0.00017777501489035785,7.459704647772014e-05,0.6666666666666666,1.0517475169954873,0.8871252197595414,0.6000000000000001,0.8492063488917937
70.0,150.0,5000.0,8.0,200.0,0.45,0.000148869221447967,6.246774137252942e-05,0.6666666666666666,0.9722222222222222,0.9054783947559104,0.6000000000000001,0.8491319443068264
90.0,110.0,5000.0,15.0,320.0,0.45,0.00013234169455245137,5.5532549595227465e-05,0.78125,0.9882117688026186,0.9159722183689163,0.5614035087719298,0.8490019060997804
80.0,130.0,5000.0,8.0,200.0,0.55,0.00017850202857516706,7.490211282856762e-05,0.6666666666666666,1.1111111111111112,0.8866636157291331,0.6000000000000001,0.8489986270781099
90.0,110.0,5000.0,10.0,200.0,0.45,0.00013234169455245137,5.5532549595227465e-05,0.8333333333333334,1.25,0.9159722183689163,0.5454545454545454,0.8485511346296487
80.0,120.0,4200.0,8.0,200.0,0.55,0.0001810671528801322,7.597847434226424e-05,0.6666666666666666,1.1111111111111112,0.8850349444203558,0.6000000000000001,0.8482657249891602
80.0,130.0,5000.0,8.0,320.0,0.45,0.00014604712487198412,6.128355016699061e-05,0.41666666666666663,0.8784104611578832,0.9072702260468155,0.7058823529411765,0.848265328303726
80.0,110.0,5000.0,10.0,320.0,0.45,0.00010456627933308482,4.3877567804884166e-05,0.5208333333333334,0.8784104611578832,0.9336076821092195,0.6575342465753424,0.8480301569403493
90.0,130.0,4200.0,10.0,320.0,0.45,0.00022004867787472904,9.233570744981989e-05,0.5208333333333334,0.9882117688026186,0.8602843788211033,0.6575342465753424,0.8479750627541176
80.0,110.0,3500.0,8.0,200.0,0.55,0.00018257604097016156,7.661162817385048e-05,0.6666666666666666,1.0517475169954873,0.8840769024740162,0.6000000000000001,0.8478346061133073
80.0,120.0,4200.0,8.0,320.0,0.45,0.00014814584574196488,6.216420297278091e-05,0.41666666666666663,0.8784104611578832,0.9059376868027663,0.7058823529411765,0.847665685643904
90.0,130.0,5000.0,12.0,320.0,0.45,0.00018484088650438935,7.756198465358466e-05,0.625,0.9882117688026186,0.8826388927421949,0.6153846153846154,0.8474971862209272
90.0,130.0,5000.0,8.0,200.0,0.45,0.00018484088650438935,7.756198465358466e-05,0.6666666666666666,1.25,0.8826388927421949,0.6000000000000001,0.8471875017339877
90.0,120.0,4200.0,12.0,320.0,0.45,0.00018749709124676883,7.867657404858619e-05,0.625,0.9882117688026186,0.8809523778068251,0.6153846153846154,0.8467382545000107
90.0,110.0,5000.0,8.0,500.0,0.45,0.00013234169455245137,5.5532549595227465e-05,0.26666666666666666,0.7905694150420949,0.9159722183689163,0.7894736842105263,0.8467267438312724
80.0,120.0,5000.0,8.0,320.0,0.55,0.00015209641424007714,6.382192805176601e-05,0.41666666666666663,0.8784104611578832,0.9034293387806308,0.7058823529411765,0.8465369290339431
80.0,110.0,4200.0,8.0,320.0,0.55,0.00015214670565910637,6.384302832884714e-05,0.41666666666666663,0.8784104611578832,0.9033974113887164,0.7058823529411765,0.8465225617075816
